-2026960962 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 
-1909129459 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 
-1854097254 2.49556 -0.5 2.41218 -1.002 -0.5 -0.5 -0.5 -0.5 2.32375 
-1852313321 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 
-1673615423 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 2.49328 2.49617 2.4218 
-1588044679 -1.002 -0.5 -0.5 0.633225 -0.5 -0.5 -0.5 -0.5 2.47979 
-1410830267 -0.5 -0.5 -0.5 -0.5 2.49467 -0.5 2.38337 -1.002 2.16968 
-1332571543 -1.002 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 0.424721 
-1232096314 -0.5 -0.5 -0.5 -0.5 -1.002 -0.5 -0.5 -0.5 0.826217 
-943389713 -0.5 -0.5 -0.5 -1.002 -0.5 -0.5 -0.5 -0.5 2.49539 
-934474527 -0.5 -0.5 -0.5 -0.5 -0.5 2.49554 2.34415 -1.002 2.35839 
-799462909 -0.5 -0.5 2.5 -0.5 -0.5 -0.5 -0.5 -0.5 2.49283 
-499441974 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 
-412980975 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 
-159714043 -0.5 2.49555 2.37999 -1.002 -0.5 -0.5 -0.5 -0.5 1.88036 
-157867326 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 
46652963 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -1.002 2.49554 
161431130 -0.5 -0.5 -0.5 -0.5 1.6939 2.49329 -1.002 -1.002 -0.5 
293361472 1.24425 2.49333 -1.002 -1.002 -0.5 -0.5 -0.5 -0.5 -0.5 
395024170 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 
415337439 -0.5 -0.5 -0.5 -0.5 -0.5 2.05016 -0.5 -1.002 2.47199 
574700013 -0.5 -0.5 2.49217 2.49778 -0.5 -0.5 -0.5 -0.5 2.47902 
587305719 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 
701081391 -0.5 1.38799 -0.5 -1.002 -0.5 -0.5 -0.5 -0.5 2.48588 
757290785 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 
1113999796 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 2.5 -0.5 2.45319 
1300812649 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 
1632463223 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 
1705244050 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 
1927767620 -0.5 -0.5 -0.5 -0.5 -1.002 -0.5 -0.5 0.219723 2.47757 
